label,photo,sensor,calib_level,f,cx,cy,k1,k2,n_markers_observed,mean_marker_err_px,max_marker_err_px
DSC05435,DSC05435.JPG,DSC05435,per-camera,4007.9564,7.0844,6.0458,-0.063653,0.085371,0,,
DSC05436,DSC05436.JPG,DSC05436,per-camera,4009.1505,9.2452,6.5352,-0.063552,0.086345,0,,
DSC05437,DSC05437.JPG,DSC05437,per-camera,4010.1771,8.9894,7.6981,-0.06468,0.092482,0,,
DSC05438,DSC05438.JPG,DSC05438,per-camera,4013.3396,14.6281,6.8868,-0.06491,0.093047,0,,
DSC05439,DSC05439.JPG,DSC05439,per-camera,4016.0528,17.1774,4.4249,-0.067396,0.103831,0,,
DSC05440,DSC05440.JPG,DSC05440,per-camera,4018.7894,16.5709,0.4619,-0.068315,0.107899,0,,
DSC05441,DSC05441.JPG,DSC05441,per-camera,4019.0561,17.5006,0.0017,-0.065907,0.097296,0,,
DSC05442,DSC05442.JPG,DSC05442,per-camera,4019.6717,16.925,-2.749,-0.063559,0.087688,0,,
DSC05443,DSC05443.JPG,DSC05443,per-camera,4021.4454,15.5779,-4.3045,-0.06511,0.094484,0,,
DSC05444,DSC05444.JPG,DSC05444,per-camera,4022.857,15.6234,-6.8017,-0.063108,0.087234,0,,
DSC05445,DSC05445.JPG,DSC05445,per-camera,4024.1048,13.5346,-7.993,-0.06395,0.091516,0,,
DSC05447,DSC05447.JPG,DSC05447,per-camera,4024.0823,11.2775,-5.6373,-0.064162,0.092231,0,,
DSC05448,DSC05448.JPG,DSC05448,per-camera,4026.6353,8.2857,-6.5501,-0.065254,0.094537,0,,
DSC05449,DSC05449.JPG,DSC05449,per-camera,4029.338,5.7307,-7.6611,-0.066547,0.098992,0,,
DSC05450,DSC05450.JPG,DSC05450,per-camera,4032.851,2.4717,-8.2185,-0.062144,0.079156,0,,
DSC05451,DSC05451.JPG,DSC05451,per-camera,4035.9611,-0.3716,-9.2741,-0.065322,0.091995,0,,
DSC05452,DSC05452.JPG,DSC05452,per-camera,4039.6546,-1.7504,-8.7761,-0.064846,0.089144,0,,
DSC05453,DSC05453.JPG,DSC05453,per-camera,4038.78,-3.3413,-7.9418,-0.064838,0.090594,0,,
DSC05454,DSC05454.JPG,DSC05454,per-camera,4042.6021,-4.819,-7.6804,-0.062107,0.078855,0,,
DSC05455,DSC05455.JPG,DSC05455,per-camera,4048.0307,-6.7186,-6.0321,-0.064022,0.086213,0,,
DSC05456,DSC05456.JPG,DSC05456,per-camera,4050.5209,-7.9546,-4.9434,-0.071083,0.120006,0,,
DSC05457,DSC05457.JPG,DSC05457,per-camera,4055.7449,-4.8504,-2.8182,-0.067034,0.098505,0,,
DSC05458,DSC05458.JPG,DSC05458,per-camera,4059.4585,-0.3191,0.0666,-0.065994,0.09106,0,,
DSC05459,DSC05459.JPG,DSC05459,per-camera,4059.5007,7.9748,0.7522,-0.066658,0.098614,0,,
DSC05460,DSC05460.JPG,DSC05460,per-camera,4061.3706,17.2387,2.4722,-0.069238,0.110417,0,,
DSC05461,DSC05461.JPG,DSC05461,per-camera,4061.5242,20.8297,2.88,-0.06844,0.103337,0,,
DSC05462,DSC05462.JPG,DSC05462,per-camera,4045.6831,19.7558,21.0081,-0.046667,0.017214,0,,
DSC05463,DSC05463.JPG,DSC05463,per-camera,4042.3369,6.7352,20.3149,-0.041269,-0.008914,0,,
DSC05464,DSC05464.JPG,DSC05464,per-camera,4036.0557,-6.1286,14.3674,-0.043479,0.003247,0,,
DSC05465,DSC05465.JPG,DSC05465,per-camera,4037.5767,-4.6448,14.689,-0.042573,-0.003723,0,,
DSC05466,DSC05466.JPG,DSC05466,per-camera,4037.0074,-7.8263,14.4763,-0.043309,-0.000363,0,,
DSC05469,DSC05469.JPG,DSC05469,per-camera,4040.9041,7.2958,14.0682,-0.043397,0.001258,0,,
DSC05472,DSC05472.JPG,DSC05472,per-camera,4041.1595,6.1811,13.6021,-0.043723,0.005066,0,,
DSC05473,DSC05473.JPG,DSC05473,per-camera,4039.8388,-2.9413,12.1421,-0.04385,0.001975,0,,
DSC05474,DSC05474.JPG,DSC05474,per-camera,4042.2308,5.2415,16.4073,-0.040725,-0.009893,0,,
DSC05475,DSC05475.JPG,DSC05475,per-camera,4042.0198,21.3677,19.1125,-0.042742,0.000553,0,,
DSC05476,DSC05476.JPG,DSC05476,per-camera,3987.1381,-1.9662,1.1478,-0.045048,0.016178,0,,
DSC05477,DSC05477.JPG,DSC05477,per-camera,3990.3712,-0.6432,7.3494,-0.045456,0.015505,0,,
DSC05478,DSC05478.JPG,DSC05478,per-camera,3993.3906,3.1001,12.2134,-0.047466,0.027687,0,,
DSC05480,DSC05480.JPG,DSC05480,per-camera,4045.1971,-2.6406,7.2077,-0.046854,0.020176,0,,
DSC05481,DSC05481.JPG,DSC05481,per-camera,4045.3828,2.068,6.8355,-0.044631,0.007682,0,,
DSC05482,DSC05482.JPG,DSC05482,per-camera,4043.4326,-1.6121,3.3599,-0.047714,0.02376,0,,
DSC05483,DSC05483.JPG,DSC05483,per-camera,4042.8424,0.745,2.6562,-0.046217,0.016826,0,,
DSC05484,DSC05484.JPG,DSC05484,per-camera,4041.8361,-1.6723,1.0678,-0.046684,0.015388,0,,
DSC05485,DSC05485.JPG,DSC05485,per-camera,4040.6126,-1.4676,-0.6742,-0.048268,0.023378,0,,
DSC05486,DSC05486.JPG,DSC05486,per-camera,4039.6623,0.0175,-1.5804,-0.047675,0.019585,0,,
DSC05487,DSC05487.JPG,DSC05487,per-camera,4038.3604,1.3541,-2.4084,-0.047422,0.019516,0,,
DSC05488,DSC05488.JPG,DSC05488,per-camera,4035.5733,2.1177,-4.1328,-0.046417,0.013824,0,,
DSC05489,DSC05489.JPG,DSC05489,per-camera,4034.0284,3.8497,-4.8911,-0.04545,0.010529,0,,
DSC05490,DSC05490.JPG,DSC05490,per-camera,4031.4567,5.0332,-5.6343,-0.044491,0.004563,0,,
DSC05491,DSC05491.JPG,DSC05491,per-camera,4030.5831,6.1116,-5.9225,-0.044285,0.004229,0,,
DSC05492,DSC05492.JPG,DSC05492,per-camera,4029.2154,6.4543,-6.1777,-0.042758,-0.002051,0,,
DSC05493,DSC05493.JPG,DSC05493,per-camera,4026.46,7.3425,-5.842,-0.044125,0.006238,0,,
DSC05494,DSC05494.JPG,DSC05494,per-camera,4023.9127,8.3235,-5.3781,-0.044313,0.007795,0,,
DSC05495,DSC05495.JPG,DSC05495,per-camera,4021.1249,8.477,-4.9352,-0.042232,0.000242,0,,
DSC05496,DSC05496.JPG,DSC05496,per-camera,4018.3014,10.0656,-4.5687,-0.041769,-0.003079,0,,
DSC05497,DSC05497.JPG,DSC05497,per-camera,4016.13,11.9034,-3.3266,-0.042276,0.00049,0,,
DSC05498,DSC05498.JPG,DSC05498,per-camera,4012.8369,14.3396,-2.0836,-0.044834,0.012037,0,,
DSC05499,DSC05499.JPG,DSC05499,per-camera,4009.4496,14.7401,-0.0158,-0.044999,0.014041,0,,
DSC05500,DSC05500.JPG,DSC05500,per-camera,4005.4046,14.5067,2.6533,-0.045774,0.018349,0,,
DSC05501,DSC05501.JPG,DSC05501,per-camera,4004.8058,14.8496,2.7446,-0.04747,0.02589,0,,
DSC05502,DSC05502.JPG,DSC05502,per-camera,3999.3788,13.8027,4.4289,-0.043463,0.004437,0,,
DSC05503,DSC05503.JPG,DSC05503,per-camera,3997.7126,13.8022,4.4085,-0.041695,-0.005024,0,,
DSC05504,DSC05504.JPG,DSC05504,per-camera,3997.5312,12.7626,4.4205,-0.04549,0.014055,0,,
DSC05505,DSC05505.JPG,DSC05505,per-camera,3996.2116,13.0534,5.0057,-0.044427,0.010583,0,,
DSC05506,DSC05506.JPG,DSC05506,per-camera,3994.4167,12.7266,5.8879,-0.043649,0.007909,0,,
DSC05507,DSC05507.JPG,DSC05507,per-camera,3992.801,11.787,5.5441,-0.043371,0.007283,0,,
DSC05508,DSC05508.JPG,DSC05508,per-camera,3990.7816,10.3237,5.7243,-0.043003,0.005258,0,,
DSC05509,DSC05509.JPG,DSC05509,per-camera,3992.2771,10.7236,4.9324,-0.045598,0.015932,0,,
DSC05510,DSC05510.JPG,DSC05510,per-camera,3988.3119,8.3827,5.1081,-0.045183,0.012178,0,,
DSC05511,DSC05511.JPG,DSC05511,per-camera,3984.6035,9.2507,3.4177,-0.042916,0.005354,0,,
DSC05512,DSC05512.JPG,DSC05512,per-camera,3982.1786,9.0225,-3.0449,-0.041933,1.9e-05,0,,
DSC05513,DSC05513.JPG,DSC05513,per-camera,3982.202,9.7127,-4.2437,-0.043059,0.004415,0,,
DSC05514,DSC05514.JPG,DSC05514,per-camera,3982.1424,9.0674,-4.9267,-0.043397,0.006635,0,,
DSC05515,DSC05515.JPG,DSC05515,per-camera,3981.5488,9.4627,-6.5581,-0.043438,0.004618,0,,
DSC05516,DSC05516.JPG,DSC05516,per-camera,3980.9866,11.8799,-8.9004,-0.044852,0.015217,0,,
DSC05517,DSC05517.JPG,DSC05517,per-camera,3981.0758,12.8698,-10.393,-0.045544,0.018299,0,,
DSC05518,DSC05518.JPG,DSC05518,per-camera,3981.8233,13.8309,-11.2118,-0.046341,0.020705,0,,
DSC05519,DSC05519.JPG,DSC05519,per-camera,3980.8888,12.2443,-9.1022,-0.04357,0.008789,0,,
DSC05520,DSC05520.JPG,DSC05520,per-camera,3980.8063,11.9676,-10.5342,-0.044064,0.010672,0,,
DSC05521,DSC05521.JPG,DSC05521,per-camera,3980.9665,12.7957,-12.3982,-0.044327,0.010145,0,,
DSC05522,DSC05522.JPG,DSC05522,per-camera,3980.9332,14.2608,-13.7387,-0.043969,0.008638,0,,
DSC05523,DSC05523.JPG,DSC05523,per-camera,3982.0874,24.2913,-19.6713,-0.044295,0.007425,0,,
DSC05524,DSC05524.JPG,DSC05524,per-camera,3982.0638,25.0674,-19.8131,-0.044249,0.008395,0,,
DSC05525,DSC05525.JPG,DSC05525,per-camera,3981.2651,24.0785,-19.2501,-0.04175,-0.003081,0,,
